date,lang,threads,running_time
2023-08-05,node-16.13.2,1,53670.7064
2023-08-05,node-16.13.2,2,27230.1178
2023-08-05,node-16.13.2,3,19105.6123
2023-08-05,node-16.13.2,4,14475.4903
2023-08-05,node-16.13.2,5,12360.0701
2023-08-05,node-16.13.2,6,11268.6612
2023-08-05,node-16.13.2,7,11369.83
2023-08-05,node-16.13.2,8,11115.9076
2023-08-05,node-16.13.2,9,10567.3244
2023-08-05,node-16.13.2,10,10305.1059
2023-08-05,node-16.13.2,11,10205.3827
2023-08-05,node-16.13.2,12,10214.7754
2023-08-05,node-18.17.0,1,53597.8916
2023-08-05,node-18.17.0,2,27330.0187
2023-08-05,node-18.17.0,3,19943.0564
2023-08-05,node-18.17.0,4,14803.1642
2023-08-05,node-18.17.0,5,13211.2304
2023-08-05,node-18.17.0,6,12124.4944
2023-08-05,node-18.17.0,7,11812.6658
2023-08-05,node-18.17.0,8,11065.7412
2023-08-05,node-18.17.0,9,10616.9943
2023-08-05,node-18.17.0,10,10132.3332
2023-08-05,node-18.17.0,11,10149.7308
2023-08-05,node-18.17.0,12,10274.3753
2023-08-05,node-18.17.0,1,53715.5626
2023-08-05,node-18.17.0,2,26926.5577
2023-08-05,node-18.17.0,3,18619.9725
2023-08-05,node-18.17.0,4,14061.5376
2023-08-05,node-18.17.0,5,11864.105
2023-08-05,node-18.17.0,6,10788.0609
2023-08-05,node-18.17.0,7,11267.5299
2023-08-05,node-18.17.0,8,10905.5783
2023-08-05,node-18.17.0,9,10866.6921
2023-08-05,node-18.17.0,10,10067.8188
2023-08-05,node-18.17.0,11,10370.2867
2023-08-05,node-18.17.0,12,10319.309799999999
